family	sensor	neutral	stress	recovery	saturated
REVIEW	VOLUME_TIER	166	166	291	-
REVIEW	EPOCH	125	125	250	-
REVIEW	DRAWDOWN	10	450	40	-
REVIEW	RECOVERY	10	0	410	-
REVIEW	VOLATILITY	650	850	850	-
REVIEW	STRESS	83	583	583	-
REVIEW	LIQUIDITY	625	604	645	-
REVIEW	FLOW_BIAS	500	500	500	-
REVIEW	QUOTE_VOLUME	687	687	687	-
ENGINEERING	VOLUME_TIER	250	333	541	1000
ENGINEERING	EPOCH	125	250	375	1000
ENGINEERING	DRAWDOWN	25	785	50	1000
ENGINEERING	RECOVERY	20	35	770	1000
ENGINEERING	VOLATILITY	650	900	1000	1000
ENGINEERING	STRESS	83	750	83	1000
ENGINEERING	LIQUIDITY	697	697	697	1000
ENGINEERING	FLOW_BIAS	600	300	666	251
ENGINEERING	QUOTE_VOLUME	687	708	729	1000
FIELD_HARNESS	VOLUME_TIER	125	708	791	1000
FIELD_HARNESS	EPOCH	0	500	625	1000
FIELD_HARNESS	DRAWDOWN	0	900	25	1000
FIELD_HARNESS	RECOVERY	0	0	875	1000
FIELD_HARNESS	VOLATILITY	600	1000	1000	1000
FIELD_HARNESS	STRESS	0	916	83	1000
FIELD_HARNESS	LIQUIDITY	708	718	718	1000
FIELD_HARNESS	FLOW_BIAS	517	273	563	251
FIELD_HARNESS	QUOTE_VOLUME	687	750	760	1000

curve	sensor	neutral	stress	recovery
0	VOLUME_TIER	166	166	291
0	EPOCH	125	125	250
0	DRAWDOWN	10	450	40
0	RECOVERY	10	0	410
0	VOLATILITY	650	850	850
0	STRESS	83	583	583
0	LIQUIDITY	625	604	645
0	FLOW_BIAS	500	500	500
0	QUOTE_VOLUME	687	687	687
1	VOLUME_TIER	812	812	875
1	EPOCH	750	750	812
1	DRAWDOWN	562	875	687
1	RECOVERY	562	0	875
1	VOLATILITY	937	937	937
1	STRESS	750	937	937
1	LIQUIDITY	937	937	937
1	FLOW_BIAS	875	875	875
1	QUOTE_VOLUME	937	937	937
2	VOLUME_TIER	27	27	84
2	EPOCH	15	15	62
2	DRAWDOWN	0	202	1
2	RECOVERY	0	0	168
2	VOLATILITY	422	722	722
2	STRESS	6	339	339
2	LIQUIDITY	390	364	416
2	FLOW_BIAS	250	250	250
2	QUOTE_VOLUME	471	471	471
3	VOLUME_TIER	0	0	250
3	EPOCH	0	0	250
3	DRAWDOWN	0	250	0
3	RECOVERY	0	0	250
3	VOLATILITY	500	750	750
3	STRESS	0	500	500
3	LIQUIDITY	500	500	500
3	FLOW_BIAS	500	500	500
3	QUOTE_VOLUME	500	500	500
